Day,Time Slot,Duration
Monday,07:00:00-09:00:00,2hrs
Monday,10:00:00-12:00:00,2hrs
Monday,13:00:00-17:00:00,4hrs
Monday,18:00:00-19:00:00,1hrs
Monday,20:00:00-22:00:00,2hrs
Tuesday,07:00:00-11:00:00,4hrs
Tuesday,12:00:00-15:00:00,3hrs
Tuesday,17:00:00-22:00:00,5hrs
Wednesday,07:00:00-12:00:00,5hrs
Wednesday,14:00:00-16:00:00,2hrs
Wednesday,19:00:00-22:00:00,3hrs
Thursday,07:00:00-10:00:00,3hrs
Thursday,11:00:00-12:00:00,1hrs
Thursday,13:00:00-14:00:00,1hrs
Thursday,15:00:00-17:00:00,2hrs
Thursday,18:00:00-19:00:00,1hrs
Thursday,20:00:00-22:00:00,2hrs
Friday,07:00:00-08:00:00,1hrs
Friday,09:00:00-10:00:00,1hrs
Friday,11:00:00-17:00:00,6hrs
Friday,18:00:00-19:00:00,1hrs
Friday,20:00:00-22:00:00,2hrs
Saturday,07:00:00-11:00:00,4hrs
Saturday,15:00:00-16:00:00,1hrs
Saturday,17:00:00-22:00:00,5hrs
Sunday,07:00:00-09:00:00,2hrs
Sunday,11:00:00-18:00:00,7hrs
Sunday,19:00:00-22:00:00,3hrs
